model,model_slug,model_group,ms,question_id,category,prompt_bytes,response_bytes,actual_new_zip_tokens,actual_new_zip_tokens_raw,theory_new_zip_tokens,base_new_tokens,valid_output,actual_bytes_per_zip_token,theory_bytes_per_zip_token,compression_efficiency,base_token_saving,gpt2_nll_sum,gpt2_mean_nll,gpt2_bits_per_byte,gpt2_scored_tokens,gpt2_scored_bytes,empty_or_too_short,repeat_4gram_rate,max_4gram_count,degenerate_repetition
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,81,writing,127,2300,397,397,384,430,1,5.793450881612091,5.989583333333333,0.9672544080604535,0.07674418604651168,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,82,writing,250,787,141,141,134,155,1,5.581560283687943,5.873134328358209,0.9503546099290779,0.0903225806451613,,,,0,0,0,0.03125,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,83,writing,292,1027,171,171,165,196,1,6.005847953216374,6.224242424242425,0.9649122807017544,0.12755102040816324,,,,0,0,0,0.044585987261146494,3,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,84,writing,219,1638,308,308,299,326,1,5.318181818181818,5.478260869565218,0.9707792207792207,0.05521472392638038,,,,0,0,0,0.0035087719298245615,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,85,writing,126,1321,273,273,268,286,1,4.8388278388278385,4.92910447761194,0.9816849816849818,0.045454545454545414,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,91,roleplay,140,2482,512,512,499,541,1,4.84765625,4.973947895791583,0.974609375,0.05360443622920519,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,92,roleplay,225,660,137,137,133,141,1,4.817518248175182,4.962406015037594,0.9708029197080292,0.028368794326241176,,,,0,0,0,0.008771929824561403,2,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,93,roleplay,450,2288,401,401,389,438,1,5.70573566084788,5.881748071979435,0.9700748129675809,0.08447488584474883,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,94,roleplay,511,316,55,55,51,57,1,5.745454545454545,6.196078431372549,0.9272727272727272,0.03508771929824561,,,,0,0,0,0.0,1,0
/mnt/dlabscratch1/gentilin/zip2zip-outputs/andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore/step_8000,andrea-z2z-llama32-1B-eosfix-1BData-v0.2-Zip2zipCore_step_8000,core,unknown,95,roleplay,478,65,15,15,14,22,1,4.333333333333333,4.642857142857143,0.9333333333333332,0.31818181818181823,,,,0,0,0,,,
